,num-executors,executor.memory,executor.cores,driver.memory,driver.cores,spark.broadcast.blockSize,spark.reducer.maxSizeInFlight,spark.memory.fraction,spark.shuffle.compress,spark.shuffle.spill.compress,spark.broadcast.compress,spark.io.compression.codec,spark.speculation,scheduler.mode,Collect At (sec),ReduceByKey(sec),Total(sec),
Default,2,1g,1,1g,1,4m,48m,0.6,TRUE,TRUE,TRUE,lz4,FALSE,FIFO,5,49,54,
1,2,1g,1,2g,1,4m,48m,0.6,TRUE,TRUE,TRUE,lz4,FALSE,FIFO,5,48,53,2022-05-05 19:13:33
2,2,1g,1,4g,1,4m,48m,0.6,TRUE,TRUE,TRUE,lz4,FALSE,FIFO,5,48,53,2022-05-05 19:13:33
3,2,1g,1,8g,1,4m,48m,0.6,TRUE,TRUE,TRUE,lz4,FALSE,FIFO,4,35,39,2022-05-05 19:13:33
4,2,1g,1,12g,1,4m,48m,0.6,TRUE,TRUE,TRUE,lz4,FALSE,FIFO,5,48,53,2022-05-05 19:20:33
5,2,1g,1,1g,2,4m,48m,0.6,TRUE,TRUE,TRUE,lz4,FALSE,FIFO,5,49,54,
6,2,1g,1,1g,5,4m,48m,0.6,TRUE,TRUE,TRUE,lz4,FALSE,FIFO,5,48,53,2022/05/05 19:30:14
7,2,1g,1,1g,6,4m,48m,0.6,TRUE,TRUE,TRUE,lz4,FALSE,FIFO,4,43,47,2022-05-05 19:40:55
8,2,1g,1,1g,1,4m,48m,0.6,TRUE,TRUE,TRUE,lz4,FALSE,FAIR,5,50,55,
9,2,1g,2,1g,1,4m,48m,0.6,TRUE,TRUE,TRUE,lz4,FALSE,FIFO,4,33,37,2022-05-05 19:52:21
10,2,1g,4,1g,1,4m,48m,0.6,TRUE,TRUE,TRUE,lz4,FALSE,FIFO,3,29,32,2022-05-05 19:56:29
11,2,1g,6,1g,1,4m,48m,0.6,TRUE,TRUE,TRUE,lz4,FALSE,FIFO,3,27,30,2022-05-05 20:07:34
12,2,2g,1,1g,1,4m,48m,0.6,TRUE,TRUE,TRUE,lz4,FALSE,FIFO,5,48,53,2022-05-05 20:12:19
13,2,4g,1,1g,1,4m,48m,0.6,TRUE,TRUE,TRUE,lz4,FALSE,FIFO,5,47,52,
14,2,8g,1,1g,1,4m,48m,0.6,TRUE,TRUE,TRUE,lz4,FALSE,FIFO,5,50,54,
13,2,12g,1,1g,1,4m,48m,0.6,TRUE,TRUE,TRUE,lz4,FALSE,FIFO,5,52,56,
14,2,1g,1,1g,1,8m,48m,0.6,TRUE,TRUE,TRUE,lz4,FALSE,FIFO,5,48,53,
15,2,1g,1,1g,1,10m,48m,0.6,TRUE,TRUE,TRUE,lz4,FALSE,FIFO,5,49,54,
16,2,1g,1,1g,1,12m,48m,0.6,TRUE,TRUE,TRUE,lz4,FALSE,FIFO,5,47,52,
17,2,1g,1,1g,1,4m,72m,0.6,TRUE,TRUE,TRUE,lz4,FALSE,FIFO,5,47,52,
18,2,1g,1,1g,1,4m,24m,0.6,TRUE,TRUE,TRUE,lz4,FALSE,FIFO,5,48,53,
19,2,1g,1,1g,1,4m,48m,0.4,TRUE,TRUE,TRUE,lz4,FALSE,FIFO,5,47,52,
20,2,1g,1,1g,1,4m,48m,0.7,TRUE,TRUE,TRUE,lz4,FALSE,FIFO,5,48,53,
21,2,1g,1,1g,1,4m,48m,0.1,TRUE,TRUE,TRUE,lz4,FALSE,FIFO,5,51,56,
22,2,1g,1,1g,1,4m,48m,0.2,TRUE,TRUE,TRUE,lz4,FALSE,FIFO,5,48,53,
23,2,1g,1,1g,1,4m,48m,0.6,FALSE,TRUE,TRUE,lz4,FALSE,FIFO,5,48,53,
24,2,1g,1,1g,1,4m,48m,0.6,TRUE,FALSE,TRUE,lz4,FALSE,FIFO,4,37,41,
25,2,1g,1,1g,1,4m,48m,0.6,FALSE,TRUE,FALSE,lz4,FALSE,FIFO,4,47,51,
26,2,1g,1,1g,1,4m,48m,0.6,FALSE,TRUE,TRUE,lzf,FALSE,FIFO,5,49,54,
27,2,1g,1,1g,1,4m,48m,0.6,FALSE,TRUE,TRUE,snappy,FALSE,FIFO,5,49,54,
28,2,1g,1,1g,1,4m,48m,0.6,FALSE,TRUE,TRUE,lz4,TRUE,FIFO,5,47,52,
29,6,1g,1,1g,1,4m,48m,0.6,,TRUE,,,,FIFO,3,25,28,
30,4,1g,4,1g,1,4m,48m,0.6,,TRUE,,,,FIFO,7,29,36,
31,8,,4,,,4m,48m,0.6,,TRUE,,,,,3,23,26,
32,12,8g,5,1g,1,4m,48m,0.6,,TRUE,,,,FIFO,7,29,36,
,8,8g,5,1g,1,4m,48m,0.6,,TRUE,,,,FIFO,6,31,37,
,6,12g,4,1g,1,4m,48m,0.6,,TRUE,,,,FIFO,4,29,33,
,6,12g,4,8g,4,4m,48m,0.6,,TRUE,,,,FIFO,4,29,33,
,12,12g,6,8g,4,4m,48m,0.6,,TRUE,,,,FIFO,3,19,23,
,6,12g,6,8g,4,4m,48m,0.6,,TRUE,,,,FAIR,2,16,18,
,19,16g,6,12g,4,4m,48m,0.6,,TRUE,,,,FAIR,3,15,18,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,-,-,-,NEW,DATA,,,,,,,,,BELOW,-,-,-,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,-,-,-,-,-,,,,,,,,,-,-,-,-,
,2,8g,2,8g,2,4m,48m,0.6,,TRUE,,,,FAIR,6,47,53,
,4,8g,2,8g,2,4m,48m,0.6,,TRUE,,,,FAIR,5,38,43,
,4,8g,4,8g,2,4m,48m,0.6,,TRUE,,,,FAIR,5,38,43,
