executor_instances,executor_memory,executor_cores,driver_memory,driver_cores,scheduler_mode,collectat,reducebykey,total
2,1,1,1,1,FIFO,5,49,54
3,1,1,1,1,FIFO,5,47,52
2,1,1,2,1,FIFO,5,48,53
2,1,1,4,1,FIFO,5,42,47
2,1,1,8,1,FIFO,4,35,39
2,1,2,1,1,FIFO,4,33,37
2,1,4,1,1,FIFO,3,29,32
2,1,6,1,1,FIFO,3,27,30
12,8,5,1,1,FIFO,7,29,36
6,12,4,1,1,FIFO,4,29,33
6,12,4,8,4,FIFO,4,29,33
12,12,6,8,4,FIFO,3,19,23
2,8,2,8,2,FAIR,6,47,53
4,8,2,8,2,FAIR,5,38,43
4,8,4,8,2,FAIR,5,38,43
4,8,4,8,4,FAIR,5,36,41
6,8,4,8,4,FAIR,5,36,41
4,8,6,8,4,FAIR,5,36,41
3,8,6,8,6,FAIR,5,36,41
10,8,6,8,4,FAIR,5,35,40
12,16,6,8,6,FAIR,4,16,20
15,16,6,8,6,FAIR,4,15,19
15,8,6,12,6,FAIR,4,26,30
15,8,6,16,6,FAIR,4,26,30
20,8,6,16,6,FAIR,6,39,45
15,8,6,12,6,FAIR,4,26,30
15,16,6,10,6,FAIR,4,16,20
10,16,6,10,6,FAIR,4,16,20
10,16,4,10,6,FAIR,4,29,33
8,20,4,12,4,FAIR,4,29,33
15,20,6,12,6,FAIR,4,15,19
2,1,1,1,2,FIFO,5,49,54
2,1,1,1,5,FIFO,5,48,53
2,1,1,1,6,FIFO,4,43,47
