executor_instances,executor_memory,executor_cores,driver_memory,driver_cores,scheduler_mode,total_uptime(min),Total_Uptime(sec),execution_time
3,1,1,1,1,FIFO,3.9,234,226
3,1,2,1,2,FIFO,2.6,156,151
3,1,2,1,2,FAIR,2.4,144,135
8,1,2,1,2,FAIR,1.5,90,97
8,1,2,1,2,FIFO,1.5,90,79
8,2,2,1,2,FAIR,1.6,96,86
8,2,2,1,2,FIFO,1.9,114,103
4,2,2,1,2,FAIR,1.8,108,98
4,2,2,1,2,FIFO,1.9,114,105
4,4,4,2,2,FAIR,1.3,78,74
4,4,4,2,2,FIFO,1.5,90,81
4,4,4,4,4,FAIR,1.3,78,73
4,4,4,4,4,FIFO,1.5,90,82
4,8,4,8,4,FAIR,1.1,66,57
4,8,4,8,4,FIFO,1.4,84,72
4,16,4,16,4,FAIR,1.9,114,83
4,16,4,4,4,FAIR,1.3,78,70
4,8,8,4,4,FAIR,1.1,66,58
4,8,8,4,8,FAIR,1.1,66,60
4,8,8,8,8,FAIR,1.1,66,56
4,8,16,8,16,FAIR,1.1,66,55
4,16,16,16,16,FAIR,1.5,90,60
15,8,16,8,16,FAIR,1.6,96,65
19,8,16,8,16,FAIR,1.6,96,65
10,8,16,8,16,FAIR,1.6,96,65
8,12,16,12,16,FAIR,1.4,84,53
6,12,16,12,16,FAIR,1.4,84,54
10,12,16,12,16,FAIR,1.4,84,55
8,14,16,12,16,FAIR,1.5,90,62
8,12,16,14,16,FAIR,1.4,84,52
8,12,16,16,16,FAIR,1.5,90,60
8,16,16,14,16,FAIR,1.5,90,60
6,12,16,12,16,FAIR,1.4,84,54
6,12,6,12,6,FAIR,1.5,90,59
6,12,4,12,4,FAIR,1.8,108,78
6,12,8,12,8,FAIR,1.5,90,58
6,12,8,12,4,FAIR,1.5,90,58
6,12,4,12,8,FAIR,1.8,108,77
6,12,10,12,8,FAIR,1.5,90,56
6,12,10,12,10,FAIR,1.4,84,54
6,12,10,14,10,FAIR,1.2,72,62
5,12,10,14,10,FAIR,1.1,66,55
7,12,10,14,10,FAIR,1.4,84,54
6,10,10,10,10,FAIR,1.3,78,67
7,10,10,10,10,FAIR,1.3,78,67
6,6,10,10,10,FAIR,1.2,72,63
5,6,10,10,10,FAIR,1.3,78,66
6,10,10,6,10,FAIR,1.3,78,68
6,6,10,6,10,FAIR,1.3,78,68
5,6,10,6,10,FAIR,1.4,84,74
