num-executors,executor.memory,executor.cores,driver.memory,driver.cores,scheduler.mode,Collect At (sec),ReduceByKey(sec),Total(sec)
2,1g,1,1g,1,FIFO,5,49,54
2,1g,1,2g,1,FIFO,5,48,53
2,1g,1,4g,1,FIFO,5,48,53
2,1g,1,8g,1,FIFO,4,35,39
2,1g,2,1g,1,FIFO,4,33,37
2,1g,4,1g,1,FIFO,3,29,32
2,1g,6,1g,1,FIFO,3,27,30
12,8g,5,1g,1,FIFO,7,29,36
6,12g,4,1g,1,FIFO,4,29,33
6,12g,4,8g,4,FIFO,4,29,33
12,12g,6,8g,4,FIFO,3,19,23
2,8g,2,8g,2,FAIR,6,47,53
4,8g,2,8g,2,FAIR,5,38,43
4,8g,4,8g,2,FAIR,5,38,43
4,8g,4,8g,4,FAIR,5,36,41
6,8g,4,8g,4,FAIR,5,36,41
4,8g,6,8g,4,FAIR,5,36,41
3,8g,6,8g,6,FAIR,5,36,41
10,8g,6,8g,4,FAIR,5,35,40
12,16g,6,8g,6,FAIR,4,16,20
15,16g,6,8g,6,FAIR,4,15,19
15,8g,6,12g,6,FAIR,4,26,30
15,8g,6,16g,6,FAIR,4,26,30
20,8g,6,16g,6,FAIR,6,39,45
15,8g,6,12g,6,FAIR,4,26,30
15,16g,6,10g,6,FAIR,4,16,20
10,16g,6,10g,6,FAIR,4,16,20
10,16g,4,10g,6,FAIR,4,29,33
8,20g,4,12g,4,FAIR,4,29,33
15,20g,6,12g,6,FAIR,4,15,19
